"smiles","drug_label"
"N[C@@H](CCCNC(N)=[NH2+])C(O)=O","D-Arginine (DB04027)"
"CCCCCCSC[C@@H](NC(=O)CC[C@H]([NH3+])C(O)=O)C(=O)NCC(O)=O","S-Hexylglutathione (DB04132)"
"CCCC(C)C1(CC)C(=O)NC(=S)NC1=O","Thiopental (DB00599)"
"N[C@@H](CN1C=C(Br)C(=O)NC1=O)C(O)=O","Bromo-Willardiine (DB04000)"
"N[C@@H](CN1C=CC(=O)NC1=O)C(O)=O","Willardiine (DB04129)"
"N[C@@H](CC1=CCCCC2=C1C(=O)NO2)C(O)=O","2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid (DB04152)"
"CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O","2,5-Diaziridin-1-Yl-3-(Hydroxymethyl)-6-Methylcyclohexa-2,5-Diene-1,4-Dione (DB04090)"
"CC1=CC=C(O)C=C1C","3,4-Dimethylphenol (DB04052)"
"CC1=CC=C(O)C(O)=C1","4-Methyl-1,2-Benzenediol (DB04120)"
"COc1ccc2ncnc2c1","5-Methoxybenzimidazole (DB04130)"
"COC1=CC=C2N(C=NC2=C1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O","Phosporic Acid Mono-[3,4-Dihydroxy-5-(5-Methoxy-Benzoimidazol-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester (DB04176)"
"CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1","Aminoglutethimide (DB00357)"
"[Mg++].[O-]S([O-])(=O)=O","Magnesium Sulfate (DB00653)"
"CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2","Dronedarone (DB04855)"
"CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC","Nitrendipine (DB01054)"
"FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1","Fluspirilene (DB04842)"
"[H][C@@](CC(C)C)(NC(=O)[C@]1([H])CSCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(O)=O","(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine (DB04012)"
"CC(=O)CCO","4-Hydroxy-2-Butanone (DB04094)"
"CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1","Ezogabine (DB04953)"
"CCCCCCCCCCCCCCCCCCOC[C@@H](CO[P@](O)(=O)OCCSC)NC(C)=O","1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide (DB04112)"
"[H][C@]12SCC(C=C/C3=C(C)N=CS3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O","Cefditoren (DB01066)"
"O[C@H]1O[C@@H](COS(O)(=O)=O)[C@H](O)[C@@H](O)[C@@H]1NS(O)(=O)=O","N,O6-Disulfo-Glucosamine (DB03959)"
"OC(=O)C(=O)N(C1=CC=CC=C1C(O)=O)C1=CC=CC2=C1C=CC=C2","Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid (DB03982)"
"OC(=O)C(=O)NC1=CC2=C(C=CN2)C=C1C(O)=O","6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid (DB04001)"
"COC(=O)C1=C(O)C=CC=C1OCCCCNC(=O)[C@@H](CC1=CC=C(C=C1)N(C(=O)C(O)=O)C1=CC=CC=C1C(O)=O)NC(=O)OCC=C","N-(Allyloxycarbonyl)-4-[N-(Carboxy-Formyl)-2-(Benzoic Acid)-Amino]-L-Phenylalaninyl-Amino-Butyloxy-(6-Hydroxy-Benzoic Acid Methyl Ester) (DB04088)"
"CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=C(C=C2)S(=O)(=O)N(C)C","3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide (DB04142)"
"CCCC[C@H](O)[C@@H](O)CO","Heptane-1,2,3-Triol (DB04079)"
"CCCCCCCCCCCC[N+](C)(C)[O-]","Lauryl Dimethylamine-N-Oxide (DB04147)"
"CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O","Fotemustine (DB04106)"
"[H][C@]12SCC(C=C3/CCN([C@@H]4CCNC4)C3=O)=C(N1C(=O)[C@H]2NC(=O)C(N=O)=C1NSC(N)=N1)C(O)=O","Ceftobiprole (DB04918)"
"NC1=NC(=CC=N1)C1=C(N=CN1CC1CC1)C1=CC=C(F)C=C1","4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole (DB03980)"
"NC1=C(N2C=C(C=CC2=N1)C(=O)C1=C(F)C=CC=C1F)C(=O)C1=CC=CC=C1","[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone (DB04006)"
"CC1=NC(C)=C(S1)C1=CC=NC(NC=N/O)=N1","N-[4-(2,4-Dimethyl-1,3-Thiazol-5-Yl)Pyrimidin-2-Yl]-N'-Hydroxyimidoformamide (DB04101)"
"OC(=O)CCCCCCC=C/[C@@H]1O[Fe@]23ON1CCCC[C@@H](NC(=O)[C@@H]1CO[C@H](N1)C1=CC=CC=C1O2)C(=O)OCCC(=O)N[C@@H]1CCCCN(O3)C1=O","Carboxymycobactin T (DB04043)"
"C[N+]1=CN([C@@H]2O[C@@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=C(N)NC4=O)[C@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2","7-methyl-guanosine-5'-triphosphate-5'-guanosine (DB03958)"
"[O-]P([O-])(=O)OP([O-])([O-])=O","Diphosphate (DB04160)"
"OC[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](F)[C@H](OC3=CC=C(C=C3[N+]([O-])=O)[N+]([O-])=O)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1O","2',4'-Dinitrophenyl-2deoxy-2-Fluro-B-D-Cellobioside (DB04086)"
"O[C@@H]1[C@@H](O)[C@@H](O[C@H]1CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","Uridine 5'-Triphosphate (DB04005)"
"OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O","Ribulose-5-Phosphate (DB04034)"
"OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCOP(O)(O)=O)C2=C1NC(=O)NC2=O","3-{2,6,8-Trioxo-9-[(2r,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate (DB03973)"
"C[N+]1=C(N)C=CNC1=O","3-Methylcytosine (DB04103)"
"CC(C)OP(O)(O)=O","Phosphorylisopropane (DB03976)"
"NC(=N)C1=CC2=C(C=C1)N([Zn])C(Cc1nc3ccc(cc3n1)C(N)=N)=N2","Bis(5-Amidino-Benzimidazolyl)Methane Zinc (DB04008)"
"CCOC(=O)CON=C(C1=CC=CC=N1)C1(CC1)C1=CC=C2N(C)C(CNC3=CC=C(C=C3)C(N)=N)=NC2=C1","[(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester (DB04107)"
"CC(=O)N1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1","N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine (DB04125)"
"OC1=CC=C(CN2C3=C(CCN(C3)C(=O)C3=CC=C(O)C=C3)C3=CC=CC=C23)C=C1","1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole (DB04030)"
"CO[C@H](O)C1=CC=C(CN2[C@H](COC3=CC=CC=C3)[C@@H](O)[C@H](O)[C@H](COC3=CC=CC=C3)N(CC3=CC=C(CO)C=C3)S2(=O)=O)C=C1","2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol (DB04042)"
"CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSCC1=CC=C(O)C=C1","4-Hydroxybenzyl Coenzyme A (DB04067)"
"CCC[N+]#[C-]","N-Propyl Isocyanide (DB04050)"
"O[C@H](C([O-])=O)C(=CC([O-])=O)C([O-])=O","4-Hydroxy-Aconitate Ion (DB03964)"
"C[C@](O)([C@@H](CC(O)=O)C(O)=O)C(O)=O","Alpha-Methylisocitric Acid (DB04072)"
"CN(C1CCN(CC1)C(=O)C1=CC2=CC=CC=C2C=C1)C(=O)C1=CC2=CC=CC=C2C=C1C(=O)[C@@H](C1=CC=CC2=CC=CC=C12)P(O)(O)=O","2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid (DB04016)"
"C[C@@H]1O[C@H](O)[C@@H](O)C[C@H]1O","Tyvelose (DB04028)"
"O[C@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","Beta-D-Glucose-6-Phosphate (DB04122)"
"N[C@@H](CCSC[C@H](O)[C@H](O)C(=O)CO)C(O)=O","(S)-2-Amino-4-[(2s,3r)-2,3,5-Trihydroxy-4-Oxo-Pentyl]Mercapto-Butyric Acid (DB04182)"
"NOC(=O)NC1=CC=CC=C1","N-[(Aminooxy)Carbonyl]Aniline (DB04157)"
"C[C@H]1OC[C@H](O)[C@@H](O)[C@H]1N[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O","1,4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5-Enyl)Amino)Fructose (DB04164)"
"OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O","Fructose (DB04173)"
"OC[C@@H]1O[C@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1F","Uridine-5'-Diphosphate-4-Deoxy-4-Fluoro-Alpha-D-Galactose (DB04097)"
"N[C@H](COC(=O)[C@@H](NC(=O)CC1=CC=CS1)[C@H]1NC(C([O-])=O)=C(CS1)C=CC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C([O-])=O","Nitrocefin Acyl-Serine (DB04041)"
"N[C@@H](C[C@H](O)O[Be](F)(F)F)C(O)=O","Aspartate Beryllium Trifluoride (DB04156)"
"O=C1NC=Nc2ccnc12","9-Deazahypoxanthine (DB04095)"
"N[C@H](CO)C(=O)N[C@H]1[C@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N","N'-L-Seryl-3'-Amino-(3'-Deoxy)-Adenosine (DB04024)"
"C[C@H]1O[C@@H](O[C@@H]2[C@H](CO)O[C@@H](OC[C@@H]3O[C@H](O)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","Acarbose Derived Hexasaccharide (DB03971)"
"CON=C(C(=O)N[C@H](C=O)[C@H]1NC(C(O)=O)=C(CC(=O)OC)CS1)C1=CSC(N)=N1","Cefotaxime Group (DB04181)"
"CC1=CN(C(=O)C=C1)C1=CC=CC=C1","Pirfenidone (DB04951)"
"NC1=NC2=NC=C(CO[P@](O)(=O)OP(O)(O)=O)N=C2C(=O)N1","[Pterin-6-Yl Methanyl]-Phosphonophosphate (DB04047)"
"OC(=O)C=CC1=CC=C(O)C=C1","Para-Coumaric Acid (DB04066)"
"[H][C@@](CSCC1=CC=CC=C1)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)N1CCOCC1)C=O","Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide (DB03984)"
"CC(=O)N[C@@H]1[C@@H](O)C=C(O[C@H]1[C@H](O)[C@@H](O)CO)C(O)=O","2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid (DB03991)"
"CCCCCCCCCCCCCC[C@H](O)OC[C@H](O)CO[P@@](O)(=O)OC[C@H](N)C(O)=O","Lysophosphotidylserine (DB04136)"
"NC(=N)C1=CC2=C(C=CC=C2NC2=NC=CC=N2)C=C1","8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide (DB04059)"
"CC(C)C1=CC(C(C)C)=C(C(=C1)C(C)C)S(=O)(=O)N[C@H](CC1=CC=CC(=C1)C(N)=N)C(=O)N1CCN(CC1)C(=O)CCN","[2,4,6-Triisopropyl-Phenylsulfonyl-L-[3-Amidino-Phenylalanine]]-Piperazine-N'-Beta-Alanine (DB04172)"
"CCOP(=O)(OCC)SCC[N+](C)(C)C","Echothiophate (DB01057)"
"NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","Adenosine (DB00640)"
"COC1=C(OC)C=C(C=C1)C(=O)NCC1=CC=C(OCCN(C)C)C=C1","Itopride (DB04924)"
"COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1","Nicardipine (DB00622)"
"CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O","Pilocarpine (DB01085)"
"CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC","Cisapride (DB00604)"
"COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1","Astemizole (DB00637)"
"CC(C)NCC(O)C1=CC(O)=C(O)C=C1","Isoprenaline (DB01064)"
"CN1C(=O)CCC1(C)C","1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine (DB03968)"
"CNC[C@H](O)C1=CC(O)=CC=C1","Phenylephrine (DB00388)"
"C[C@H](N)[C@H](O)C1=CC(O)=CC=C1","Metaraminol (DB00610)"
"CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1","Indacaterol (DB05039)"
"OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2","Clorazepate (DB00628)"
"[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1","Clonazepam (DB01068)"
"CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O","Sulpiride (DB00391)"
"OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1","Fluphenazine (DB00623)"
"CS(O)(=O)=O.[H][C@@]12CCCN1C(=O)[C@H](C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C","Ergoloid mesylate (DB01049)"
"CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1","Acetophenazine (DB01063)"
"CCCN(CCC1=CC=CS1)C1CCC2=C(C1)C=CC=C2O","Rotigotine (DB05271)"
"OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F","Mefloquine (DB00358)"
"CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O","Clobazam (DB00349)"
"CCCC(C)(COC(N)=O)COC(N)=O","Meprobamate (DB00371)"
"FC1=CC=C(C=C1)C(N1CCN(CC=CC2=CC=CC=C2)CC1)C1=CC=C(F)C=C1","Flunarizine (DB04841)"
"OP(O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@@H](C[C@@H]1F)N1C=CC(=O)NC1=O","Fudp (DB04068)"
"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1","Mebendazole (DB00643)"
"[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(C)CS1","Degraded Cephaloridine (DB04133)"
"[H][C@@]1(CC(=O)N(CC2=CC=CC=C2)CN1S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO","1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide (DB04140)"
"CC1=C(CCCO)NC(=O)NC1=O","6-Hydroxypropylthymine (DB04139)"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)[N+]2=CC=CC(=C2)C(O)=O)[C@H](O)[C@H]1O","Deamido-Nad+ (DB04099)"
"C[N+](C)(C)CCCC[C@@H](N)C(O)=O","N-Trimethyllysine (DB03977)"
"CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCNC(=O)C12CC3CC(CC(C3)C1)C2","Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide (DB04032)"
"[O-][N+](=O)C1=CC2=C(NC3=C2CC(=O)NC2=C3C=CC=C2)C=C1","Alsterpaullone (DB04014)"
"[H][C@](O)(CC(O)=O)C(=O)N[C@@]([H])(CC(C)C)C(=O)NCCC(C)C","N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-2-Methyl-Butane (DB04126)"
"OC(=O)CCCCC1=CC=CC=C1","5-Phenylvaleric Acid (DB04051)"
"CN(C(C)=O)C1=CC=CC(=C1)C1=NN=C2C=CC(=NN12)C1=CC=CC=C1","N-Methyl-N-[3-(6-Phenyl[1,2,4]Triazolo[4,3-B]Pyridazin-3-Yl)Phenyl]Acetamide (DB04154)"
"[H][C@]1(SCC(=NC=C1C(O)=O)C(O)=O)C1=CN2C(SC3=C2CCC3)=N1","(6,7-Dihydro-5h-Cyclopenta[D]Imidazo[2,1-B]Thiazol-2-Yl]-4,7-Dihydro[1,4]Thiazepine-3,6-Dicarboxylic Acid (DB03970)"
"[H][P@](O)(=O)CNC(=O)CC1=CC=C(I)C=C1","(P-Iodophenylacetylamino)Methylphosphinic Acid (DB04123)"
"NC1=NC2=C(N=C(CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=CN=C4N)CN2)C(=O)N1","6-(Adenosine Tetraphosphate-Methyl)-7,8-Dihydropterin (DB04158)"
"CN1C=NC2=C(N=NC2=C1N)[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O","6-Methyl-Formycin A (DB03986)"
"CSCC[C@H](N)P(O)=O","Methionine Phosphinate (DB04015)"
"NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[C@H]3O[C@H]([C@H](O)[C@@H](O)[C@@H]3O)C(O)=O)[C@H](O)[C@H]2O)C(=O)N1","Guanosine 5'-(Trihydrogen Diphosphate), P'-D-Mannopyranosyl Ester (DB04023)"
"N[C@@H](CO[V](O)([O-])([O-])[O-])C(O)=O","Serine Vanadate (DB04031)"
"OC[C@H]1O[C@@H](O)[C@H](F)[C@@H](O)[C@@H]1O","2-Deoxy-2-Fluoro-Alpha-D-Mannose (DB04084)"
"CC(C)(ON=C(/C(=O)NCB(O)O)C1=CSC(N)=N1)C(O)=O","Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate (DB04035)"
"NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]2O)C(=O)N1","Guanosine-3'-Monophosphate-5'-Diphosphate (DB04121)"
"NC1=CC=CC=C1C(O)=O","2-Aminobenzoic Acid (DB04166)"
"[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO","Methylergometrine (DB00353)"
"OCCOC1=CC=C(C=C1)C(=C(CCCl)C1=CC=CC=C1)C1=CC=CC=C1","Ospemifene (DB04938)"
"O=C1NC=Nc2ncnc12","Hypoxanthine (DB04076)"
"NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2","Cyclothiazide (DB00606)"
"[H][C@@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2","Palonosetron (DB00377)"
"OC(=O)C1=CC=C([Hg])C=C1","Mercuribenzoic Acid (DB03975)"
"NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCCCCNCS","4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide (DB04002)"
"CN[C@@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O","(4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide (DB04081)"
"[H][C@]1(O)CN(CC2=CC=CS2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O","AL5300 (DB04089)"
"NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1","4-(Aminosulfonyl)-N-[(2,4-Difluorophenyl)Methyl]-Benzamide (DB04180)"
"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1","Norfloxacin (DB01059)"
"C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12","Mequitazine (DB01071)"
"OC1=CC=C(CCNC2=NC(SCCCC3=CC=C(Cl)C=C3)=NC(=N2)N2CCNCC2)C=C1","4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol (DB04020)"
"FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1","Efavirenz (DB00625)"
"CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O","Stavudine (DB00649)"
"NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1","Abacavir (DB01048)"
"CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1","Prenylamine (DB04825)"
"NC1=NC(=C(Br)C(O)=N1)C1=CC=CC=C1","2-Amino-5-Bromo-6-Phenylpyrimidin-4-Ol (DB04168)"
"CC(=O)N[C@H]1[C@H](O[P@](O)(=O)O[P@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)O[C@H](CO)[C@H](O)[C@@H]1O[C@@](C)(OP(O)(O)=O)C(O)=O","3'-1-Carboxy-1-Phosphonooxy-Ethoxy-Uridine-Diphosphate-N-Acetylglucosamine (DB04174)"
"NC1=NC2=C(C(N)=N1)C(SC1=CC=CC=C1)=CC=C2","5-Phenylsulfanyl-2,4-Quinazolinediamine (DB04163)"
"C[C@]1(CO)O[P@@](O)(=O)O[P@](O)(=O)OC[C@H]1O","2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate (DB03961)"
"[H][C@@](CC1=CC=CC=C1)(NC(N)=O)C(O)=O","D-[(Amino)Carbonyl]Phenylalanine (DB04058)"
"CCCCCCCCCCCCC(=O)CC(O)=O","3-Oxo-Pentadecanoic Acid (DB04039)"
"O=C1C=CC(=O)N1COCN1C(=O)C=CC1=O","1-[Pyrrol-1-Yl-2,5-Dione-Methoxymethyl]-Pyrrole-2,5-Dione (DB04085)"
"[O]#C[Re+]1(C#[O])(C#[O])[N]2=CC=CC3=C2C2=C(C=CC=[N]12)C=C3","(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I) (DB04100)"
"N[C@@H](COP(O)(O)=O)Cc1cncn1","Phosphoric Acid Mono-[2-Amino-3-(3h-Imidazol-4-Yl)-Propyl]Ester (DB03997)"
"CN(C)CCSCC1=C2N=C(N)NC(=O)C2=CC(N)=C1","2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One (DB04004)"
"NC1=CC(N)=C2C(=O)NNC(=O)C2=C1","3,5-Diaminophthalhydrazide (DB04169)"
"C[C@H]1CCC[C@@]2(C)O[C@@]2([H])C[C@H](NC(=O)C[C@@H](O)C(C)(C)C(=O)[C@@H](C)[C@H]1O)C(C)=CC1=CSC(C)=N1","Ixabepilone (DB04845)"
"C[C@](O)(CBr)CCO[P@](O)(=O)OP(O)(O)=O","4-Bromo-3-Hydroxy-3-Methyl Butyl Diphosphate (DB04170)"
"OC[C@@H]1O[C@H](OC[C@@H]2O[C@H](O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O","Allolactose (DB04116)"
"OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@H]2CO)[C@H](F)[C@@H](O)[C@@H]1O","2-Fluoro-2-Deoxy-Beta-D-Galactopyranosyl-Beta-D-Glucopyranose (DB04155)"
"O[C@@H]1C=C(OC[C@H]1OS(O)(=O)=O)C(O)=O","1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid (DB03981)"
"OC[C@H]1O[C@H]2O[C@@H]3[C@H](CO)O[C@H](O[C@@H]4[C@H](CO)O[C@@H](O[C@@H]5[C@H](CO)O[C@@H](O[C@@H]6[C@H](CO)O[C@@H](O[C@@H]7[C@H](CO)O[C@@H](O[C@@H]8[C@H](CO)O[C@@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O","Cyclo-Hepta-Amylose (DB03995)"
"CC(C)CCC(O)=O","4-Methyl Valeric Acid (DB03993)"
"CC(C)C[C@](C)(N)C(O)=O","2-Methylleucine (DB04063)"
"CC[C@@]1(O)C[C@H](O[C@@H]2C[C@@H]([C@@H](O)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2C1)C(=O)C1=CC=CC(O)=C1C3=O","10-(4-Dimethylamino-5-Hydroxy-6-Methyl-Tetrahydro-Pyran-2-Yloxy)-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione (DB04131)"
"OC(=O)C1=CC=CC(O)=C1C(=O)C1=C(O)C=C(C=C1O)C(=O)O[C@@H]1CCCNC[C@@H]1NC(=O)C1=CC=C(O)C=C1","Balanol (DB04098)"
